SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity,steeringIntensity_S1,steeringIntensity_S2,steeringIntensity_S3,steering2,timeDecreasingThrottle,timeDecreasingThrottle_S1,timeDecreasingThrottle_S2,timeDecreasingThrottle_S3,timeIncreasingThrottle,timeIncreasingThrottle_S1,timeIncreasingThrottle_S2,timeIncreasingThrottle_S3,timeSameThrottle,timeSameThrottle_S1,timeSameThrottle_S2,timeSameThrottle_S3
6743744306563797e3,2,12662,12590.916909550877,0.8735637664794922,0,0.8735637664794922,0,0.10321981067560132,0,0.22379516473913588,0,0,1,0,1,0.8012240845900102,1,0.5690256701287836,1,0,1,0.267491674844372,0.13858087700526606,332,0.07727549909252206,7.217602740871816e-4,0.06435168762071276,0.07529944055934873,0.09320266584518884,901,0,901,0,1401,0,1401,0,10294,2036,3453,4805
972909e13,2,12670,12600.498815176006,0.722407877,0,0.722407877,0,0.07629442758482129,0,0.16432645941346152,0,0,1,0,1,0.8158896825044643,1,0.6034547007788462,1,0,1,0.26266962227804874,0.1941292390296672,317,0.05967398344592834,3.400710074363065e-4,0.05117801664977932,0.10373153317242925,0.07099123685133929,442,0,442,0,1635,0,1635,0,10510,2085,3671,4754
10419879221391935e3,3,12695,12611.813669554836,1,0,1,0,0.10926168473812883,0,0.23626671998928725,0,0,1,0,1,0.867181939006647,1,0.7127951330656557,1,1,1,0.2691163771698389,0.1502711024193497,332,0.07484545561045795,9.067978013781438e-4,0.06538237480579612,0.08663683876659979,0.09418378302247421,200,0,200,0,501,0,501,0,11944,2052,5154,4738
12702044508946735e3,3,12679,12615.61950246307,1,0,1,0,0.12050700052622774,0,0.2585235652314803,0,0,1,0,1,0.8175558393071608,1,0.608602698000832,1,1,1,0.2669430447155672,0.11865232281969916,334,0.06996058411917727,7.168349945604658e-4,0.061739691281658356,0.10328222797284967,0.08648017222751447,751,0,751,0,1752,0,1752,0,10093,2002,3403,4688
508450525573018500,2,12679,12616.155328476343,1,9.613183792680502e-4,1,0.01496910024434328,0.09142061490251396,7.0340369214735385e-05,0.19645425046649584,0.0025938731177072762,0,1,0,1,0.8101562718816459,1,0.5875808665015063,1,0,1,0.08553258256486061,0.12269375611369844,316,0.06478322311319218,6.307655571380827e-4,0.05249792699525743,0.0969849373615069,0.0787834179019328,401,0,401,0,1201,0,1201,0,10994,2052,4204,4738
972909e13,3,12637,12621.23114609292,0.716456831,0,0.716456831,0,0.0689348265753424,0,0.1556363610309278,0,0,1,0,1,0.838380202849315,1,0.6351058188041236,1,1,1,0.25317461574908,0.23082784122576364,315,0.07101430346124213,7.084764444349857e-4,0.0612826160348773,0.10341669080438337,0.0854386082237443,784,0,784,0,1334,0,1334,0,10486,2152,3571,4763
927515e13,2,12687,12621.452962563188,1,0,1,0,0.06921389215315316,0,0.15365484058000012,0,0,1,0,1,0.8430026044639641,1,0.6514657819100002,1,0,0,0.29155004266367057,0.1434646565106198,311,0.08819220784532819,0.001109484618682541,0.06604066933923299,0.10388625535540784,0.1066230327072072,1311,0,1311,0,1266,0,1266,0,10044,2119,3037,4888
169509e13,4,12712,12622.155150535533,0.939681113,0,0.939681113,0,0.11592194568379438,0,0.2506688227179488,0,0,1,0,1,0.8180747031185771,1,0.6066059819572648,1,1,1,0.2691820585584471,0.1738459221161934,332,0.06670303871298185,6.531082248100717e-4,0.05595977142335365,0.0919507516694721,0.08199504598458499,350,0,350,0,1251,0,1251,0,11045,2052,4255,4738
146505e14,1,12695,12622.459946468354,1,0,1,0,0.08119374496069882,0,0.1787823807307691,0,0,1,0,1,0.888162807982533,1,0.7537431060384615,1,0,1,0.29419194453044906,0.10550870622801502,318,0.1094571814912211,7.434694527100197e-4,0.09728554662740452,0.12747606614557852,0.13245423811834062,267,0,267,0,400,0,400,0,11962,2094,5022,4846
13645891850117116e3,2,12699,12624.034747729023,1,0,1,0,0.12757541381177426,0,0.2771465886255791,0,0.1263294219970703,1,0.1263294219970703,1,0.8565199618774749,1,0.6883019861476173,1,1,1,0.2675808577085192,0.14780628044832247,333,0.07219243920013704,5.036691222620956e-4,0.06114694032500431,0.08044133653612874,0.08801706460347312,700,0,700,0,1750,0,1750,0,10183,2050,3400,4733
