"SESSION_IDENTIFIER","LAP_NUM","CURRENT_LAP_TIME_MS","NORMALISED_LAP_TIME_MS","maxBrake","maxBrake_S1","maxBrake_S2","maxBrake_S3","aveBrake","aveBrake_S1","aveBrake_S2","aveBrake_S3","minThrottle","minThrottle_S1","minThrottle_S2","minThrottle_S3","aveThrottle","aveThrottle_S1","aveThrottle_S2","aveThrottle_S3","firstBrakeDist","firstBrakeLateral","firstBrakeSpeed","timeDecreasingThrottle","timeDecreasingThrottle_S1","timeDecreasingThrottle_S2","timeDecreasingThrottle_S3","timeIncreasingThrottle","timeIncreasingThrottle_S1","timeIncreasingThrottle_S2","timeIncreasingThrottle_S3","timeSameThrottle","timeSameThrottle_S1","timeSameThrottle_S2","timeSameThrottle_S3","FROM_2022"
14650537402509758464,1,12695,12620.3003780492,1,0,1,0,0.0811937449664674,0,0.178782380743472,0,0,1,0,1,0.888162807980349,1,0.753743106033653,1,0.301993027074806,0.105508706006729,318,267,0,267,0,400,0,400,0,11912,1994,5022,4896,TRUE
9729094767838013440,3,12637,12621.3129728334,0.716456830501556,0,0.716456830501556,0,0.0689348265747689,0,0.154048234896677,0,0,1,0,1,0.83838020285196,1,0.638829228822237,1,0.260747390688351,0.230827839245447,315,784,0,784,0,1334,0,1334,0,10400,1966,3604,4830,TRUE
9275146942871160832,2,12687,12621.4658501206,1,0,1,0,0.0692138921570133,0,0.152133505533237,0,0,1,0,1,0.84300260447167,1,0.654916615769415,1,0.299372116992152,0.143464656073478,311,1311,0,1311,0,1266,0,1266,0,9994,2002,3104,4888,TRUE
1695090480291126784,4,12712,12622.1677148902,0.939681112766266,0,0.939681112766266,0,0.11592194567556,0,0.248544510643361,0,0,1,0,1,0.818074703128206,1,0.609939829588442,1,0.277133962380635,0.173845920705554,332,350,0,350,0,1251,0,1251,0,10995,1902,4305,4788,TRUE
13645891850117117952,2,12699,12624.0462606318,1,0,1,0,0.127575413811774,0,0.277146588625579,0,0.12632942199707,1,0.12632942199707,1,0.856519961877475,1,0.688301986147617,1,0.275538416507869,0.147806280448322,333,700,0,700,0,1750,0,1750,0,10133,1950,3400,4783,FALSE
15183575682296195072,2,12679,12626.8420370875,1,0,1,0,0.0751227696430315,0,0.165561832125905,0,0,1,0,1,0.86702398617756,1,0.706936357886467,1,0.305545697435824,0.176947169264456,317,333,0,333,0,969,0,969,0,11261,2019,4404,4838,TRUE
17849857623809574912,5,12712,12628.9342540626,1,0,1,0,0.0883243660625801,0,0.191241453474631,0,0,1,0,1,0.798539423013488,1,0.563794055046595,1,0.278034699641695,0.177262810264147,330,250,0,250,0,2202,0,2202,0,10144,1953,3353,4838,FALSE
1.5242682074966e+19,2,12671,12628.9741092701,1,0,1,0,0.0934394975151637,0,0.201117394651685,0,0.0678263306617737,1,0.0678263306617737,1,0.836696327787585,1,0.648508286476135,1,0.280150683373731,0.139512005242312,317,1404,0,1404,0,1237,0,1237,0,9917,1984,3132,4801,TRUE
920383713154590720,1,12712,12629.1148130996,1,0,1,0,0.0809561972955947,0,0.177187148797906,0,0,1,0,0.624633431434631,0.861281970772764,1,0.702384937062578,0.992860830231999,0.310425270386137,0.152110120050526,316,334,0,234,100,484,0,434,50,11794,1985,5087,4722,TRUE
17424917576773414912,1,12726,12635.0059390134,0.947539508342743,0,0.947539508342743,0,0.0970999158984212,0,0.206904493690094,0,0.0749980956315994,1,0.0749980956315994,1,0.861303655953522,1,0.704460126704702,1,0.290104224582146,0.142489191596126,317,817,0,817,0,1633,0,1633,0,10160,2002,3305,4853,TRUE
1686956066918641152,3,12712,12636.3456765253,1,0,1,0,0.106615208339668,0,0.228590234829965,0,0,1,0,1,0.813892404523056,1,0.600972697833332,1,0.260965621568703,0.131159336522452,331,701,0,701,0,1051,0,1051,0,10844,1885,4154,4805,FALSE
3397261924944538112,7,12728,12639.2838953734,0.994125247001648,0,0.994125247001648,0,0.11311036318894,0,0.24458907595557,0,0,1,0,1,0.801761482028739,1,0.571330384215993,1,0.276393689002188,0.146521220740834,331,500,0,500,0,1502,0,1502,0,10610,1902,3854,4854,FALSE
9943356580072894464,2,12710,12645.4020219856,0.94752424955368,0,0.94752424955368,0,0.0984970533387051,0,0.213879315821188,0,0.0562600120902062,1,0.0562600120902062,1,0.839649163006821,1,0.651809611100526,1,0.287376906887335,0.17388767023172,317,750,0,750,0,1784,0,1784,0,10060,1918,3288,4854,TRUE
97185831637688192,2,12729,12646.5854128443,1,0,1,0,0.127564035849315,0,0.275843598887834,0,0,1,0,1,0.872009194032712,1,0.723233556327147,1,0.288187784374132,0.162461076291357,332,150,0,150,0,201,0,201,0,12245,1902,5505,4838,FALSE
9943356580072894464,1,12726,12647.292978378,0.917021453380585,0,0.917021453380585,0,0.0889117235357456,0,0.191690413127525,0,0,1,0,1,0.843340946592272,1,0.662248829809026,1,0.292923675289556,0.155072468666395,317,367,0,367,0,1501,0,1501,0,10742,2019,3903,4820,TRUE
13645891850117117952,1,12749,12652.351612985,1,0,1,0,0.117003177303866,0,0.257821160607633,0,0.0751811861991882,1,0.0751811861991882,1,0.847823368018889,1,0.664672731298261,1,0.287842753596542,0.144171874630886,333,950,0,950,0,1551,0,1551,0,10148,1949,3350,4849,FALSE
16597095390720266240,2,12745,12654.7798312233,1,0,1,0,0.132369775002397,0,0.287366861971015,0,0,1,0,0.974166452884674,0.849090620523362,1,0.678077413485601,0.993133610671328,0.291045111243834,0.145508600599585,329,301,0,251,50,501,0,301,200,11843,1951,5288,4604,FALSE
11440267201681186816,4,12729,12659.2775556971,1,0,1,0,0.107876640681928,0,0.231294831292609,0,0,1,0,1,0.86820408857976,1,0.717420630598977,1,0.277815399002126,0.128274766942365,331,251,0,251,0,250,0,250,0,12095,1885,5405,4805,FALSE
14163304803601182720,2,12737,12665.1631158095,0.794186353683472,0,0.794186353683472,0,0.0678723110902778,0,0.153888705343303,0,0,1,0,1,0.847031080469034,1,0.653169479479294,1,0.321654666611191,0.10011310371112,305,267,0,267,0,217,0,217,0,12137,2002,5130,5005,TRUE
13674602658337562624,1,12760,12671.5709563008,1,0,1,0,0.0702513679069407,0,0.158741071712799,0,0,1,0,1,0.843605285115104,1,0.646608096173552,1,0.2920262141661,0.146894109700628,316,584,0,584,0,1518,0,1518,0,10558,2001,3703,4854,TRUE
