SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity
3634306594235992e3,2,12762,12699.995796179366,1,0,1,0,0.11245611555551974,0,0.25205681072788855,0,0,1,0,1,0.8448166276399905,1,0.6521751998827374,1,0,0,0.27216906950814995,0.13527109328128087,331,0.06980131245945197
4486621736790789e3,5,12779,12701.154447266204,1,0,1,0,0.11873122883530735,0,0.2638471751895724,0,0,1,0,1,0.8702145522030502,1,0.7115878937845556,1,0,0,0.27431017982303335,0.1472951241799694,332,0.07824006648293826
321882000617768260,2,12762,12707.688399473916,1,0,1,0,0.1061228581847482,0,0.23582857374388452,0,0,1,0,1,0.836132190695319,1,0.6358493126562648,1,0,0,0.279703371704312,0.09983125830101604,329,0.07956278575441536
172509e14,2,12796,12709.12950815929,1,0,1,0,0.09339479586607131,0,0.21131751791919204,0,0,1,0,1,0.8543316090803569,1,0.670406873070707,1,1,1,0.30685697507391935,0.1508199700248942,315,0.07467473700988049
17962844060030706e3,2,12779,12710.163608447194,1,0,1,0,0.1123055794491217,0,0.2453735349308542,0,0,1,0,1,0.882909132597538,1,0.7441712140786546,1,1,1,0.2646021086982764,0.1544289415003552,333,0.11033604270965097
920384e12,3,12795,12713.977307415678,1,0,1,0,0.09081959799163196,0,0.20477248981132085,0,0,1,0,1,0.9079825109414225,1,0.7925266048584905,1,0,1,0.29355285820622823,0.15380484302404598,315,0.06496301089712571
656314e13,2,12771,12715.064957190953,1,0,1,0,0.09665496954506449,0,0.21654430676923064,0,0,1,0,1,0.8508225842532188,1,0.6657852127980769,1,0,0,0.3077622154117481,0.21117370876696132,313,0.07847147987713424
4131079224770729500,2,12812,12716.786606644224,0.9700160026550292,0,0.9700160026550292,0,0.08919547287697294,0,0.2024349427903477,0,0,1,0,1,0.8393485746007427,1,0.6353911127895118,1,0,0,0.2826039222197034,0.18768136661317916,319,0.07114276561174471
136997523322341e5,1,12796,12720.576663307924,1,0,1,0,0.08468881226590762,0,0.1889211965931789,0,0,1,0,1,0.8250948348242287,1,0.6098269392232782,1,0,1,0.2733218820922776,0.11706755265788052,331,0.0965126289539033
734171e12,2,12787,12722.841641926036,1,0,1,0,0.05959897743103453,0,0.13555845847058826,0,0,1,0,1,0.817218228060345,1,0.584261067745098,1,0,1,0.28248373701874985,0.14071756101364122,316,0.08322801205384556
99372e14,3,12779,12723.494044949515,0.733760595,0,0.733760595,0,0.08792143630472089,0,0.198890239407767,0,0,1,0,1,0.8424746989227471,1,0.6436563577572816,1,1,1,0.26573714002858617,0.14323880785021895,317,0.06665420645422462
8333785365183354e3,2,12812,12728.503408381155,1,0,1,0,0.08996652295791548,0,0.20069455121381183,0,0,1,0,1,0.8662493056314369,1,0.7016330664085908,1,0,1,0.2695660310556291,0.14133570226655404,333,0.1362148670850226
4636621705041619e3,4,12746,12729.979561683043,0.9160448908805848,0,0.9160448908805848,9.613183792680502e-4,0.09071304695306733,0,0.1981279594117058,1.0449112818130986e-5,0,1,0,1,0.7958228274633784,1,0.5540340705121163,1,1,1,0.2589068053084099,0.10243230959846748,331,0.07760402667297775
10851171156448092e3,8,12795,12738.056760692847,1,0,1,0,0.11355180806807588,0,0.24923659567484396,0,0,1,0,1,0.8253147763606437,1,0.6165807379441243,1,1,1,0.25661750198701305,0.17208341527836146,332,0.0725505909334964
1759299045309027600,1,12812,12740.618155182246,1,0,1,0,0.10323681274136368,0,0.22834583157199909,0,0,1,0,1,0.8694733330173512,1,0.7112927111654967,1,1,1,0.27721223265525585,0.13681711634196367,332,0.1228548302837086
13925e15,1,12829,12741.226819522166,0.865827441,0,0.865827441,0,0.08773135131896562,0,0.19954581868627444,0,0,1,0,0.683802545,0.8191210018577585,1,0.6075144708039216,0.9787867737252747,0,1,0.30692841574080093,0.12514813224547733,317,0.0755850471963676
14285509787690088e3,1,12795,12743.276437067516,0.9668116569519044,0,0.9668116569519044,0,0.08040500183186551,0,0.17784496167895628,0,0,1,0,1,0.8259522841348563,1,0.6150300521965895,1,1,1,0.24967926780010977,0.10786847127539877,333,0.09941780353094333
12702044508946735e3,1,12812,12748.269471918164,0.9841153621673584,0,0.9841153621673584,0,0.10585516651243104,0,0.23023498716453697,0,0,1,0,1,0.7947926394983952,1,0.5536739909090098,1,1,1,0.23305350696295185,0.1483694838123605,331,0.07888453942267659
