"","REFTYPE","SESSION_IDENTIFIER","FRAME","WORLDPOSX","WORLDPOSY","WORLDPOSZ","c1dist","c2dist","closeToOne","closeToTwo","inRange","distfromrandpoint","distToNext","LAP_DISTANCE_TOTAL","LAP_DISTANCE_PERC"
"5378","LEFT",18118509207215331328,913,174.79557800293,410.511383056641,2.62475442886353,297.099364464288,374.720856736074,TRUE,TRUE,TRUE,538.809927343732,1.69897911749811,75.7040105914097,0.0833616588177815
"5379","LEFT",18118509207215331328,914,176.020309448242,409.330230712891,2.6186306476593,295.401102272768,373.076325911901,TRUE,TRUE,TRUE,539.37345529042,1.70149580436843,77.4055063957782,0.0852352651381809
"4875","LEFT",18118509207215331328,915,177.245407104492,408.149566650391,2.61481666564941,293.702990373674,371.432537499541,TRUE,TRUE,TRUE,539.941161092801,1.70142055231158,79.1069269480898,0.0871087885945915
"4876","LEFT",18118509207215331328,916,178.475555419922,406.963714599609,2.6106162071228,291.997680013449,369.782222170143,TRUE,TRUE,TRUE,540.51628862406,1.708657357195,80.8155843052847,0.0889902808766284
"4877","LEFT",18118509207215331328,917,180.106475830078,405.392425537109,2.59767889976501,289.737521615519,367.595845142638,TRUE,TRUE,TRUE,541.285335740709,2.26469660268133,83.0802809079661,0.0914840571514079
"4878","LEFT",18118509207215331328,918,181.335037231445,404.209320068359,2.58588528633118,288.035402359646,365.949951323888,TRUE,TRUE,TRUE,541.869693053276,1.70560888456746,84.7858897925335,0.0933621926002585
"4879","LEFT",18118509207215331328,919,182.565368652344,403.025238037109,2.57712435722351,286.331410170549,364.302862280187,TRUE,TRUE,TRUE,542.458968897522,1.70756132012265,86.4934511126562,0.0952424779783578
"5128","LEFT",18118509207215331328,921,183.796676635742,401.841491699219,2.57236123085022,284.627050838005,362.656122745899,TRUE,TRUE,TRUE,543.052277802247,1.70803241844238,88.2014835310986,0.0971232821075391
"5129","LEFT",18118509207215331328,922,185.029373168945,400.656860351562,2.56984400749206,282.921146444731,361.008483878627,TRUE,TRUE,TRUE,543.650569312767,1.70964679768103,89.9111303287796,0.0990058639144186
"5130","LEFT",18118509207215331328,923,186.261871337891,399.472412109375,2.56314730644226,281.215556442885,359.361682829029,TRUE,TRUE,TRUE,544.253483115715,1.70937689667161,91.6205072254512,0.100888148519133
"5131","LEFT",18118509207215331328,924,187.495361328125,398.286865234375,2.54999256134033,279.508532615978,357.714018995666,TRUE,TRUE,TRUE,544.861717368191,1.71085328091879,93.33136050637,0.102772058848019
"4880","LEFT",18118509207215331328,925,188.731597900391,397.099853515625,2.53202605247498,277.798624603053,356.064297772988,TRUE,TRUE,TRUE,545.474926151265,1.71384879235508,95.0452092987251,0.104659267691744
"5132","LEFT",18118509207215331328,926,190.37971496582,395.517944335938,2.50801539421082,275.519529182992,353.866385231833,TRUE,TRUE,TRUE,546.299193102872,2.28445321995003,97.3296625186751,0.107174799014575
"4881","LEFT",18118509207215331328,927,191.619338989258,394.329467773438,2.4933865070343,273.806375975377,352.215126681592,TRUE,TRUE,TRUE,546.923383158527,1.71730726985452,99.0469697885296,0.109065816169367
"4882","LEFT",18118509207215331328,928,192.859191894531,393.142944335938,2.4827196598053,272.094568722227,350.566076749554,TRUE,TRUE,TRUE,547.550353172226,1.71612152671418,100.763091315244,0.110955527640163
"4883","LEFT",18118509207215331328,929,194.514450073242,391.561401367188,2.4746413230896,269.81118305962,348.367712124409,TRUE,TRUE,TRUE,548.392304658262,2.28935750816512,103.052448823409,0.113476459332112
"4884","LEFT",18118509207215331328,931,195.75862121582,390.373901367188,2.47191953659058,268.095885343326,346.71718597808,TRUE,TRUE,TRUE,549.029417440781,1.71991804514755,104.772366868556,0.115370351348586
"4885","LEFT",18118509207215331328,932,197.417556762695,388.791839599609,2.46822333335876,265.809831035487,344.518623003965,TRUE,TRUE,TRUE,549.884923932224,2.29237575129338,107.06474261985,0.117894606586434
"4886","LEFT",18118509207215331328,933,198.664688110352,387.602172851562,2.46104955673218,264.091082867842,342.86634381177,TRUE,TRUE,TRUE,550.533778328035,1.72355550235999,108.78829812221,0.11979250399793
"4887","LEFT",18118509207215331328,934,200.328155517578,386.016510009766,2.44509434700012,261.799513860512,340.664580138934,TRUE,TRUE,TRUE,551.405362198767,2.2981406533892,111.086438775599,0.122323107272003
"4888","LEFT",18118509207215331328,935,201.575469970703,384.828033447266,2.4329035282135,260.081677348544,339.014908267629,TRUE,TRUE,TRUE,552.063809028593,1.72286676344588,112.809305539045,0.124220246276937
"4889","LEFT",18118509207215331328,936,203.239501953125,383.243560791016,2.41730046272278,257.790821728765,336.816162154395,TRUE,TRUE,TRUE,552.948380100352,2.2977284515205,115.107033990565,0.126750395653901
"5133","LEFT",18118509207215331328,937,204.492630004883,382.051177978516,2.4067006111145,256.066353450981,335.161959669575,TRUE,TRUE,TRUE,553.619105483049,1.72977070319963,116.836804693765,0.128655136949199
"1536","LEFT",18118509207215331328,938,206.159820556641,380.465240478516,2.39705681800842,253.77251760188,332.962741522629,TRUE,TRUE,TRUE,554.518152559211,2.30102631227391,119.137831006039,0.131188917773702
"4847","LEFT",18118509207215331328,939,207.412231445312,379.274322509766,2.39426946640015,252.049789240217,331.311972651713,TRUE,TRUE,TRUE,555.198414798293,1.72824148843714,120.866072494476,0.133091975170376
"1537","LEFT",18118509207215331328,941,209.084136962891,377.684478759766,2.39309000968933,249.750131277371,329.109494316643,TRUE,TRUE,TRUE,556.113630913379,2.30713484849116,123.173207342967,0.135632482424669
"1538","LEFT",18118509207215331328,942,210.339019775391,376.491088867188,2.38879895210266,248.02409255126,327.457238443295,TRUE,TRUE,TRUE,556.805951346807,1.7317362122493,124.904943555217,0.137539388045126
"4848","LEFT",18118509207215331328,943,211.596099853516,375.294799804688,2.37942504882812,246.29450769983,325.802208296538,TRUE,TRUE,TRUE,557.504777291109,1.73532643726641,126.640269992483,0.139450247050756
"1539","LEFT",18118509207215331328,944,213.267715454102,373.703491210938,2.36419939994812,243.994304045414,323.602252395317,TRUE,TRUE,TRUE,558.441546856326,2.3079345217456,128.948204514229,0.141991634867234
"1540","LEFT",18118509207215331328,945,214.524795532227,372.506225585938,2.35630178451538,242.264181643432,321.948341603971,TRUE,TRUE,TRUE,559.151798278389,1.73599979827917,130.684204312508,0.143903235346011
"4849","LEFT",18118509207215331328,946,216.199295043945,370.909912109375,2.34791469573975,239.95858172948,319.745284496379,TRUE,TRUE,TRUE,560.106257996152,2.31347473083269,132.99767904334,0.146450723777451
"1541","LEFT",18118509207215331328,947,217.45686340332,369.709289550781,2.33989882469177,238.225824071681,318.09023526578,TRUE,TRUE,TRUE,560.829951328646,1.73866980956857,134.736348852909,0.148365264345774
"4850","LEFT",18118509207215331328,948,219.132888793945,368.107543945312,2.32539010047913,235.915416230523,315.884441726675,TRUE,TRUE,TRUE,561.80289846521,2.31832916011905,137.054678013028,0.15091809824405
"1542","LEFT",18118509207215331328,949,220.39143371582,366.903106689453,2.31317687034607,234.179359281024,314.22768205241,TRUE,TRUE,TRUE,562.540251662061,1.7420116026248,138.796689615653,0.152836318636076
"4817","LEFT",18118509207215331328,950,222.066482543945,365.298034667969,2.29696321487427,231.86738184038,312.022275890057,TRUE,TRUE,TRUE,563.53041476412,2.31992344070978,141.116613056363,0.155390908080374
"4818","LEFT",18118509207215331328,951,223.324203491211,364.090881347656,2.28579449653625,230.130043207021,310.365686271685,TRUE,TRUE,TRUE,564.280887968702,1.74329605056981,142.859909106932,0.157310542845437
"4851","LEFT",18118509207215331328,952,224.579574584961,362.884155273438,2.27586126327515,228.394669396866,308.711527994664,TRUE,TRUE,TRUE,565.036066379061,1.74130537276564,144.601214479698,0.159227985570704
"4852","LEFT",18118509207215331328,953,225.837875366211,361.672668457031,2.26838302612305,226.653877171192,307.052755921154,TRUE,TRUE,TRUE,565.799223703187,1.74671725314098,146.347931732839,0.161151387601455
"4819","LEFT",18118509207215331328,954,227.094711303711,360.460571289062,2.26349210739136,224.913685361882,305.395104318268,TRUE,TRUE,TRUE,566.567766461234,1.74608594244084,148.09401767528,0.163074094462864
"4820","LEFT",18118509207215331328,955,228.349349975586,359.248657226562,2.25930976867676,223.175172693898,303.739622999031,TRUE,TRUE,TRUE,567.341132269713,1.74437779504603,149.838395470326,0.164994920393537
"4821","LEFT",18118509207215331328,956,229.607650756836,358.031616210938,2.25390005111694,221.430482892474,302.078904075213,TRUE,TRUE,TRUE,568.122593906925,1.75057410291821,151.588969573244,0.166922569403975
"4822","LEFT",18118509207215331328,957,230.861801147461,356.817260742188,2.24662160873413,219.690641174216,300.423498022956,TRUE,TRUE,TRUE,568.907038573704,1.74572403511773,153.334693608362,0.168844877750238
"4853","LEFT",18118509207215331328,958,232.126266479492,355.591674804688,2.23858761787415,217.935649456135,298.754412905833,TRUE,TRUE,TRUE,569.703444739524,1.76094675277441,155.095640361136,0.170783948629763
"4808","LEFT",18118509207215331328,960,233.794967651367,353.972534179688,2.22938394546509,215.618437441993,296.551809586643,TRUE,TRUE,TRUE,570.762740732226,2.3251193441504,157.420759705287,0.173344259556008
"4823","LEFT",18118509207215331328,961,235.051635742188,352.752807617188,2.22341227531433,213.873213405577,294.89397133048,TRUE,TRUE,TRUE,571.56579012586,1.75127027547265,159.172029980759,0.175272675158579
"4809","LEFT",18118509207215331328,962,236.310211181641,351.530151367188,2.21725273132324,212.124626914432,293.233743727372,TRUE,TRUE,TRUE,572.375332996365,1.75467958398642,160.926709564746,0.177204844929666
"1517","LEFT",18118509207215331328,963,237.567565917969,350.308471679688,2.21121430397034,210.377679730716,291.576044139725,TRUE,TRUE,TRUE,573.18851344818,1.75312355292398,162.67983311767,0.179135301273294
"4810","LEFT",18118509207215331328,964,239.24674987793,348.676788330078,2.2032253742218,208.04470422639,289.363830122197,TRUE,TRUE,TRUE,574.281195191734,2.34137765530949,165.021210772979,0.181713515079151
"1518","LEFT",18118509207215331328,965,240.507141113281,347.452392578125,2.19576001167297,206.293962033738,287.704996704679,TRUE,TRUE,TRUE,575.105929810759,1.7571940768031,166.778404849782,0.183648453690233
"4985","LEFT",18118509207215331328,966,241.766616821289,346.229248046875,2.1864333152771,204.54487576274,286.04886571375,TRUE,TRUE,TRUE,575.93389314305,1.75566557276393,168.534070422546,0.185581709185305
"5134","LEFT",18118509207215331328,967,243.450302124023,344.594848632812,2.17226219177246,202.207393538157,283.837438561954,TRUE,TRUE,TRUE,577.046523315294,2.34649901839564,170.880569440942,0.188165562392812
"1519","LEFT",18118509207215331328,968,244.713241577148,343.370239257812,2.16139221191406,200.455207188713,282.18129139729,TRUE,TRUE,TRUE,577.884649290308,1.75917144803955,172.639740888981,0.19010267839113
"5135","LEFT",18118509207215331328,970,245.977294921875,342.145446777344,2.15112662315369,198.702278996075,280.525745728578,TRUE,TRUE,TRUE,578.726788934841,1.76009871272248,174.399839601704,0.192040815449251
"1520","LEFT",18118509207215331328,971,247.244506835938,340.917419433594,2.14031004905701,196.944966742123,278.867191727164,TRUE,TRUE,TRUE,579.575338143876,1.7646181434349,176.164457745139,0.193983929089698
"1521","LEFT",18118509207215331328,972,248.932861328125,339.283630371094,2.12500524520874,194.605629105907,276.661601347981,TRUE,TRUE,TRUE,580.710020196249,2.34942707740299,178.513884822542,0.196571006536635
"1526","LEFT",18118509207215331328,973,250.202484130859,338.056579589844,2.11299967765808,192.847805969498,275.005981211808,TRUE,TRUE,TRUE,581.566594211558,1.76567145329737,180.279556275839,0.198515280031846
"1527","LEFT",18118509207215331328,974,251.895751953125,336.421234130859,2.0978422164917,190.504532980384,272.801099423139,TRUE,TRUE,TRUE,582.714246975406,2.35404135225805,182.633597628097,0.201107438498972
"1528","LEFT",18118509207215331328,975,253.167358398438,335.194183349609,2.08569359779358,188.745768115697,271.147887211119,TRUE,TRUE,TRUE,583.579844718619,1.76709834800628,184.400695976103,0.203053283222827
"1529","LEFT",18118509207215331328,976,254.866287231445,333.557922363281,2.06626105308533,186.39860981841,268.944217480996,TRUE,TRUE,TRUE,584.739618889799,2.35875161791249,186.759447594016,0.205650628410647
"1530","LEFT",18118509207215331328,977,256.140838623047,332.331848144531,2.05183053016663,184.639060845145,267.294069424034,TRUE,TRUE,TRUE,585.613002710052,1.76854155724905,188.527989151265,0.207598062327936
"5136","LEFT",18118509207215331328,978,257.416748046875,331.106750488281,2.04182815551758,182.87955334995,265.645761291573,TRUE,TRUE,TRUE,586.489141483055,1.76884400814845,190.296833159413,0.209545829289781
"1531","LEFT",18118509207215331328,981,258.696533203125,329.879699707031,2.03810262680054,181.116234679665,263.995620292446,TRUE,TRUE,TRUE,587.37026357738,1.77299285557615,192.06982601499,0.21149816476525
"1532","LEFT",18118509207215331328,982,259.977294921875,328.652648925781,2.03740739822388,179.352477359466,262.346676714482,TRUE,TRUE,TRUE,588.255177212171,1.77369788858805,193.843523903578,0.213451276589567
"5137","LEFT",18118509207215331328,983,261.684173583984,327.018859863281,2.03339314460754,177.003371384354,260.153045752964,TRUE,TRUE,TRUE,589.439271502603,2.36277410429117,196.206298007869,0.216053051148229
"1533","LEFT",18118509207215331328,984,262.964447021484,325.793609619141,2.0248167514801,175.241779693,258.509815587854,TRUE,TRUE,TRUE,590.33187406267,1.77209995077443,197.978397958643,0.218004403399364
"1534","LEFT",18118509207215331328,985,264.248962402344,324.563629150391,2.01275944709778,173.474052116113,256.862250540487,TRUE,TRUE,TRUE,591.232070430393,1.77843518779027,199.756833146433,0.219962731712434
"5138","LEFT",18118509207215331328,986,265.959411621094,322.927886962891,1.99591207504272,171.122110370331,254.673011126219,TRUE,TRUE,TRUE,592.434893450814,2.36670425568759,202.123537402121,0.222568833967043
"5139","LEFT",18118509207215331328,987,267.26513671875,321.679931640625,1.98615419864655,169.327527401559,253.004614880836,TRUE,TRUE,TRUE,593.357097705492,1.80618673370742,203.929724135829,0.224557720963653
"5140","LEFT",18118509207215331328,988,268.959014892578,320.061767578125,1.98082304000854,167.000434856376,250.84380551355,TRUE,TRUE,TRUE,594.558738227378,2.34257939053041,206.272303526359,0.227137258063226
"5141","LEFT",18118509207215331328,989,270.243682861328,318.834594726562,1.97821354866028,165.235873049935,249.207265010602,TRUE,TRUE,TRUE,595.474541961309,1.77660490755381,208.048908433913,0.229093570958679
"1535","LEFT",18118509207215331328,991,271.532745361328,317.603637695312,1.97470331192017,163.465856421181,247.567447584066,TRUE,TRUE,TRUE,596.39698049213,1.78239651640427,209.831304950317,0.231056261298566
"5341","LEFT",18118509207215331328,992,273.246734619141,315.967529296875,1.96655094623566,161.113274072489,245.390732446191,TRUE,TRUE,TRUE,597.628912553858,2.36951680039082,212.200821750708,0.233665460593743
"5342","LEFT",18118509207215331328,993,274.531982421875,314.740966796875,1.96093678474426,159.349722614781,243.761128729488,TRUE,TRUE,TRUE,598.556897363017,1.77660279208375,213.977424542792,0.235621771159741
"5343","LEFT",18118509207215331328,994,276.239990234375,313.111175537109,1.95400297641754,157.006713206431,241.598912580132,TRUE,TRUE,TRUE,599.795825507832,2.36082829489344,216.338252837685,0.238221403085564
"5142","LEFT",18118509207215331328,995,277.515014648438,311.894653320312,1.94777894020081,155.258101445906,239.987367832076,TRUE,TRUE,TRUE,600.724954059516,1.76227510917445,218.100527946859,0.24016193668803
"5344","LEFT",18118509207215331328,996,278.790130615234,310.678497314453,1.94103538990021,153.510028722444,238.378260816014,TRUE,TRUE,TRUE,601.657432401381,1.76208857875198,219.862616525611,0.24210226489206
"5345","LEFT",18118509207215331328,997,280.069946289062,309.458557128906,1.93650901317596,151.756381725957,236.766060580084,TRUE,TRUE,TRUE,602.596393559887,1.76810130232639,221.630717827938,0.244049214021549
"5143","LEFT",18118509207215331328,998,281.744049072266,307.863800048828,1.93443202972412,149.463780113763,234.661512419248,TRUE,TRUE,TRUE,603.829238462694,2.31211381060443,223.942831638542,0.246595203872308
"5144","LEFT",18118509207215331328,999,283.001495361328,306.666564941406,1.93478918075562,147.742647069068,233.083908223942,TRUE,TRUE,TRUE,604.758807497763,1.73624395530136,225.679075593844,0.248507073205195
"5346","LEFT",18118509207215331328,1001,284.256866455078,305.471618652344,1.93390107154846,146.024955591567,231.511464055189,TRUE,TRUE,TRUE,605.690076846783,1.733162778497,227.412238372341,0.25041554969261
"5347","LEFT",18118509207215331328,1002,285.925659179688,303.883361816406,1.9278130531311,143.742330743301,229.424961712762,TRUE,TRUE,TRUE,606.933276030322,2.30378578314287,229.716024155484,0.252952369115298
"5297","LEFT",18118509207215331328,1003,287.171173095703,302.698364257812,1.91854691505432,142.039443940151,227.870796581563,TRUE,TRUE,TRUE,607.864777924246,1.71916378767752,231.435187943161,0.25484543057929
"5298","LEFT",18118509207215331328,1004,288.829010009766,301.122924804688,1.90368294715881,139.774889293741,225.807568463728,TRUE,TRUE,TRUE,609.108151488634,2.28701392739333,233.722201870554,0.257363781631467
"2316","LEFT",18118509207215331328,1005,290.067901611328,299.947296142578,1.89646089076996,138.084409812436,224.270144512915,TRUE,TRUE,TRUE,610.039600077519,1.70790958531041,235.430111455865,0.25924445050264
"5145","LEFT",18118509207215331328,1006,291.306335449219,298.774017333984,1.89582979679108,136.396495214649,222.737566683447,TRUE,TRUE,TRUE,610.972171990013,1.705960589676,237.136072045541,0.261122973232443
"5146","LEFT",18118509207215331328,1007,292.536651611328,297.60986328125,1.90093994140625,134.721224075479,221.218893880456,TRUE,TRUE,TRUE,611.900521378222,1.69379234773493,238.829864393276,0.262988096872485
"2317","LEFT",18118509207215331328,1008,293.765380859375,296.448333740234,1.90938913822174,133.049467461964,219.70579071721,TRUE,TRUE,TRUE,612.82983620977,1.69083601796798,240.520700411244,0.26484996514268
