"LAP_DISTANCE","LAP_TIME","WORLDPOSX","WORLDPOSY","THROTTLE","BRAKE","GEAR","LATERAL","SPEED_KPH","ENGINE_RPM","STEERING"
770,20294.7231566058,551.521610968329,-117.196092173915,0.387499559030497,0,4,0.587730995389936,176,10758,-0.00497783878630924
780,20511.1537801963,558.178316325756,-124.657198441265,0.392417035417063,0,4,0.586280590388943,178,10810,-0.00250021192358825
790,20725.7967050202,564.838493682889,-132.103445260498,0.385342399449521,0,4,0.57928716818307,179,10734,0.0104570584432423
800,20937.8380294011,571.31670939289,-139.663879847783,0.383429805613966,0,4,0.588076298218191,181,10692,0.0147611817594483
810,21146.6453911657,577.793157606256,-147.192725310306,0.415538738679488,0,4,0.584280756136058,183,10780,0.0137452088352369
820,21353.2703845517,584.284681221836,-154.711328968111,0.399323638251817,0,4,0.566628439148121,184,10891,0.0142076271530096
830,21559.1084688125,590.668196798546,-162.365247547521,0.407084401011115,0,4,0.556333862228171,185,10957,0.0147170280439834
840,21763.9837484684,597.142158618815,-169.943557607838,0.408564002833459,0,4,0.524247672232339,187,10982,0.0148252825690018
850,21966.9263440794,603.275326881316,-177.710155623842,0.385255098404534,0,4,0.521881980929829,188,11107,0.0131075107688173
860,22169.8485009165,609.413048857926,-185.554579455872,0.382990236235002,7.98964616516544e-05,4,0.513797117810229,189,11144,0.00999630812079172
870,22371.0197371787,615.671313296253,-193.288482929761,0.399327591834461,9.6131837926805e-05,4,0.479669084667828,190,11011,0.0133026755641813
880,22596.0805202876,621.53078036808,-201.350203531795,0.442747001607289,0,5,0.491310195077167,199,11027,0.0138601493978891
890,22796.8872746372,627.627130747723,-209.259549813004,0.385382105744014,0.000177693062753881,4,0.465273082635365,192,11148,0.0150709317320495
900,22998.8729144233,633.62650377018,-217.242931260146,0.429124975124038,0,5,0.444060581816983,202,11131,0.0123658057122268
910,23200.8774646336,639.470791121568,-225.338017999326,0.367559236334384,0,5,0.435049087023149,194,10784,0.00749982100768205
920,23398.3987826198,645.447180153333,-233.362112403338,0.314947246225593,0.000357972350922254,5,0.405044236274486,196,10809,0.00530159824912802
