"","REFTYPE","SESSION_IDENTIFIER","FRAME","WORLDPOSX","WORLDPOSY","WORLDPOSZ","c1dist","c2dist","closeToOne","closeToTwo","inRange","distfromrandpoint"
"3819","RIGHT",14023301428294604800,937,275.554718017578,294.142883300781,1.91356909275055,143.29940004674,224.484431726686,TRUE,TRUE,TRUE,618.505839958505
"3820","RIGHT",14023301428294604800,938,276.757904052734,292.943664550781,1.91173422336578,141.600822330699,222.894204170077,TRUE,TRUE,TRUE,619.440076700329
"3821","RIGHT",14023301428294604800,939,278.360107421875,291.344543457031,1.9108122587204,139.337368790796,220.777106198839,TRUE,TRUE,TRUE,620.69133089318
"3822","RIGHT",14023301428294604800,940,279.557922363281,290.147308349609,1.91020774841309,137.643969210514,219.19469268369,TRUE,TRUE,TRUE,621.632206033983
"3823","RIGHT",14023301428294604800,941,280.765991210938,288.938171386719,1.90938866138458,135.934892636701,217.598916542453,TRUE,TRUE,TRUE,622.585983812772
"3824","RIGHT",14023301428294604800,942,282.346374511719,287.354187011719,1.90849649906158,133.697522111483,215.51194707893,TRUE,TRUE,TRUE,623.840739101422
"3825","RIGHT",14023301428294604800,943,283.536804199219,286.158874511719,1.90829253196716,132.010662360655,213.939949375461,TRUE,TRUE,TRUE,624.791647925011
"886","RIGHT",14023301428294604800,944,284.725921630859,284.964050292969,1.90842795372009,130.325070492956,212.370684701622,TRUE,TRUE,TRUE,625.745421538092
"887","RIGHT",14023301428294604800,945,286.306488037109,283.372741699219,1.90862321853638,128.08233458247,210.284716423602,TRUE,TRUE,TRUE,627.021044576651
"888","RIGHT",14023301428294604800,946,287.490997314453,282.178894042969,1.90859961509705,126.400661002872,208.722395717362,TRUE,TRUE,TRUE,627.981842612719
"889","RIGHT",14023301428294604800,947,288.673461914062,280.986389160156,1.90872704982758,124.72137769627,207.163975512091,TRUE,TRUE,TRUE,628.944710198902
"890","RIGHT",14023301428294604800,948,290.245910644531,279.399475097656,1.90985679626465,122.487461104106,205.093508149252,TRUE,TRUE,TRUE,630.230887563687
"891","RIGHT",14023301428294604800,949,291.423400878906,278.210998535156,1.91183161735535,120.81453866843,203.545210891631,TRUE,TRUE,TRUE,631.197623743428
"935","RIGHT",14023301428294604800,950,292.599395751953,277.023986816406,1.91437494754791,119.143711289181,202.000823734893,TRUE,TRUE,TRUE,632.166119619654
